-3270.3858116371475,
-766.2278651854126,
-143.90844084445567,
-132.16045869329045,
-63.77447205425594,
-58.92696369795907,
-38.186781174069715,
-36.741927359273085,
-28.330770798581216,
-22.906335222364866,
-22.182039950068067,
-16.43745919658684,
-13.698189800005952,
-13.021295975203888,
-12.945295023793776,
-12.139809287838396,
-11.209006976675212,
-11.08604783717639,
-10.134827346273555,
-9.549709179366793,
-8.976236571068386,
-8.897655079544437,
-7.68347003784352,
-6.278243115170262,
-5.9272594996676435,
-5.59998026576249,
-5.550404964252323,
-5.400078790917317,
-5.213378679973367,
-5.034623281033615,
-4.966278870321428,
-4.8484582105577525,
-4.317509558970043,
-4.039077465846071,
-3.976296896889355,
-3.423442118124747,
-3.3094180927038552,
-3.2885826874919877,
-3.1933994563193617,
-3.0247489169504096,
-2.552364413277172,
-2.551983729555264,
-2.299243501515254,
-2.224676357047915,
-2.182242961815778,
-1.8253248235908561,
-1.6483087390688398,
-1.6349342925194452,
-1.6063322949499508,
-1.558015380745253,
-1.5116739236562862,
-1.4191883081394945,
-1.3712297961692532,
-1.360383945518843,
-1.3265173383761013,
-1.0015977544025672,
-0.9651316872523705,
-0.8339489032179538,
-0.6595660552558807,
-0.6547635799205072,
-0.4956332795085623,
-0.47408473816856606,
-0.4113687167333571,
-0.3792233487446629,
-0.3297259377833156,
-0.3060122172931517,
-0.29504740699524196,
-0.2717526759778189,
-0.22784199089763377,
0.047167398562883975,
0.04783828968394564,
0.10014999413767309,
0.13268925808482943,
0.26191932432847725,
0.36708948980331385,
0.40127797201211074,
0.4102390702117216,
0.43472510562893607,
0.8520643995881217,
0.9102315865481634,
0.9473962742444103,
0.9528573107528877,
0.9962170301824763,
0.9985163252642266,
1.3818979699627885,
1.410852000853336,
1.4614812756819502,
1.6625701853866979,
1.9243380866159985,
2.0707757753510414,
2.1113106026041066,
2.2709079058223653,
2.350960467449219,
2.3966731331846938,
2.4751910165871878,
3.120108115837196,
3.7298763173931455,
4.319948227237614,
4.362278108823036,
4.622092726519638,
5.014173749220134,
5.092129157003264,
5.331345581480335,
5.724419638995795,
5.871964540866166,
6.332362788526569,
6.347519771323706,
6.513926240134255,
7.236445081357597,
7.294003153098629,
8.565013936192416,
8.765812544210279,
9.103146102984342,
9.814121384272406,
12.462710632596968,
13.357542577057663,
16.352031158288693,
17.7963366858137,
18.803448541433756,
19.09382826396555,
21.549431073296887,
24.247398018358034,
26.54825266491637,
30.10894293535079,
45.690903318442125,
54.40692056118382,
73.71873164043465,
171.80969597494686,
491.42530745450193,
6360.209918935259,
